City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
saint george,37.1041,-113.5841,53.01,49,1,2.06,US,1612049024
yinchuan,38.4681,106.2731,27.43,69,0,8.43,CN,1612049201
nouadhibou,20.931,-17.0347,68,64,0,18.41,MR,1612049201
sapa,5.1544,120.3241,79.66,82,100,10.38,PH,1612049202
lompoc,34.6391,-120.4579,59,58,1,3.44,US,1612049202
thompson,55.7435,-97.8558,14,92,90,2.3,CA,1612049202
hobart,-42.8794,147.3294,66.99,45,20,9.22,AU,1612049182
leningradskiy,69.3833,178.4167,-27.51,81,0,3.24,RU,1612049201
khatanga,71.9667,102.5,-46.59,78,31,0.67,RU,1612049202
saskylakh,71.9167,114.0833,-34.65,82,100,10.27,RU,1612049202
hasaki,35.7333,140.8333,33.8,64,20,4.61,JP,1612049202
nzega,-2.479,29.5564,54.75,93,58,3.09,RW,1612049202
murgab,37.4966,61.9714,48.2,61,75,4.61,TM,1612049172
bokoro,12.3807,17.0568,73.33,20,1,12.73,TD,1612049202
pochinki,54.6988,44.8668,20.16,96,100,9.95,RU,1612049202
severo-kurilsk,50.6789,156.125,24.8,95,96,29.04,RU,1612049202
preeceville,51.95,-102.6677,13.14,96,99,2.84,CA,1612049203
chapais,49.7834,-74.8492,-4,77,90,8.05,CA,1612049203
moron,-34.6534,-58.6198,64.99,89,100,4,AR,1612049203
los llanos de aridane,28.6585,-17.9182,64.4,77,90,13.8,ES,1612049203
nabire,-3.3667,135.4833,77.43,88,100,2.73,ID,1612049203
esperance,-33.8667,121.9,62.6,77,0,12.66,AU,1612049203
broome,42.2506,-75.833,15.8,73,1,8.05,US,1612049203
kaitangata,-46.2817,169.8464,60.01,83,68,15.01,NZ,1612049174
coihaique,-45.5752,-72.0662,71.6,30,0,8.05,CL,1612049203
brownsville,25.9018,-97.4975,78.8,65,20,20.71,US,1612049133
avarua,-21.2078,-159.775,80.6,83,75,5.75,CK,1612049203
kibray,41.3873,69.4641,44.6,53,0,11.5,UZ,1612049204
nikolskoye,59.7035,30.7861,27,93,75,8.95,RU,1612049204
eureka,40.8021,-124.1637,55,87,90,3.44,US,1612048954
saint-philippe,-21.3585,55.7679,78.8,65,0,4.61,RE,1612049204
tasiilaq,65.6145,-37.6368,21.2,35,90,17.27,GL,1612049204
pyay,18.8167,95.2167,63.01,45,91,1.74,MM,1612049204
gambela,8.25,34.5833,80.37,39,9,1.43,ET,1612049204
hermanus,-34.4187,19.2345,66.99,86,3,9.48,ZA,1612049204
kaeo,-35.1,173.7833,73.99,50,0,10,NZ,1612049204
airai,-8.9266,125.4092,61.66,100,100,5.35,TL,1612049204
dikson,73.5069,80.5464,-34.87,80,0,7.47,RU,1612049204
east london,-33.0153,27.9116,69.87,83,2,2.01,ZA,1612049204
komsomolskiy,40.4272,71.7189,37.4,44,100,6.91,UZ,1612049205
oxford,51.7522,-1.256,37.4,81,75,14.97,GB,1612049154
weihe,32.9952,105.3247,36.14,70,100,2.13,CN,1612049205
howard springs,-12.497,131.047,78.8,89,75,12.66,AU,1612049205
richards bay,-28.783,32.0377,73.45,92,99,2.8,ZA,1612049205
dandong,40.1292,124.3947,10.58,88,2,4.23,CN,1612049205
cape town,-33.9258,18.4232,71.01,77,75,3.44,ZA,1612049178
gardez,33.5974,69.2259,30.79,79,13,1.41,AF,1612049205
muroto,33.2833,134.15,35.6,80,20,6.91,JP,1612049205
karratha,-20.7377,116.8463,87.3,50,100,5.21,AU,1612049205
bambous virieux,-20.3428,57.7575,78.8,89,40,3.44,MU,1612049205
kandrian,-6.2167,149.55,82.49,75,100,18.05,PG,1612049205
saint-francois,46.4154,3.9054,44.6,87,90,3.44,FR,1612049206
qaanaaq,77.484,-69.3632,-5.91,72,94,2.48,GL,1612049192
ust-kan,50.9276,84.761,8.78,85,0,3,RU,1612049206
muzhi,65.3667,64.6667,-16.44,88,100,3.24,RU,1612049206
qaqortoq,60.7167,-46.0333,39.2,30,75,36.82,GL,1612049206
puerto ayacucho,5.6639,-67.6236,84.85,53,61,7.92,VE,1612049206
rawson,-43.3002,-65.1023,61.7,54,3,17.54,AR,1612049206
lebu,-37.6167,-73.65,59.4,77,2,12.82,CL,1612049175
wagar,16.1525,36.2032,62.74,86,0,8.43,SD,1612049206
phangnga,8.4509,98.5298,75.2,83,20,3.44,TH,1612049206
arraial do cabo,-22.9661,-42.0278,77.88,78,47,27.98,BR,1612049206
isangel,-19.55,169.2667,82.4,69,40,9.22,VU,1612049206
tazovskiy,67.4667,78.7,-26.09,83,100,14.56,RU,1612049207
artigas,-30.4,-56.4667,70.12,92,87,17.76,UY,1612049207
smithers,54.7804,-127.1743,21.2,68,75,2.3,CA,1612049207
rudbar,30.15,62.6,62.71,29,0,13.13,AF,1612049207
sitka,57.0531,-135.33,41,52,75,11.5,US,1612049207
ilulissat,69.2167,-51.1,6.8,66,90,6.91,GL,1612049207
lagoa,39.05,-27.9833,61.93,92,73,27.31,PT,1612049207
husavik,66.0449,-17.3389,14,79,90,4.61,IS,1612049207
phalodi,27.1333,72.3667,52.54,32,0,2.46,IN,1612049207
hay river,60.8156,-115.7999,-9.4,77,18,5.75,CA,1612049172
huarmey,-10.0681,-78.1522,74.23,68,69,10.98,PE,1612049207
port blair,11.6667,92.75,78.35,81,7,6.35,IN,1612049207
victoria,22.2855,114.1577,62.01,64,0,1.01,HK,1612048986
ribeira grande,38.5167,-28.7,63.14,90,56,22.77,PT,1612049208
tyrma,50.0833,132.1667,-29.43,82,24,2.13,RU,1612049208
clyde river,70.4692,-68.5914,-13,84,75,4.61,CA,1612049208
nome,64.5011,-165.4064,-7.6,64,1,5.75,US,1612049208
ahipara,-35.1667,173.1667,71.15,47,0,5.19,NZ,1612048989
gillette,44.2911,-105.5022,33.8,75,90,10.36,US,1612049208
panormos,35.4182,24.6909,60.01,63,3,4,GR,1612049208
longyearbyen,78.2186,15.6401,-5.8,59,20,19.57,SJ,1612049208
bathsheba,13.2167,-59.5167,78.8,73,20,18.41,BB,1612049209
najran,17.4924,44.1277,60.8,27,0,3.49,SA,1612049209
maceio,-9.6658,-35.7353,77,94,40,4.61,BR,1612049209
killybegs,54.6333,-8.45,36,85,100,5.01,IE,1612049209
sainte-anne,16.2333,-61.3667,77,78,20,6.91,GP,1612049209
kahului,20.8947,-156.47,78.8,57,40,18.41,US,1612049176
rio cuarto,-33.1307,-64.3499,60.01,94,40,4.61,AR,1612049209
zhigansk,66.7697,123.3711,-50.01,76,75,1.45,RU,1612049209
venado tuerto,-33.7456,-61.9688,66,91,100,10,AR,1612049209
pryazha,61.6926,33.6216,23,93,100,6.71,RU,1612049209
bolama,11.5833,-15.4667,77.88,57,16,10.67,GW,1612049209
hambantota,6.1241,81.1185,77.36,80,100,13.4,LK,1612048926
tsabong,-26.0217,22.401,79.45,48,23,8.37,BW,1612049210
eidfjord,60.4675,7.0719,10.99,81,99,1.86,NO,1612049210
jeremie,18.65,-74.1167,76.42,72,44,9.84,HT,1612049210
tynda,55.1667,124.7167,-38.02,80,96,0.92,RU,1612049210
dong hoi,17.4833,106.6,68.52,88,100,7.54,VN,1612049210
luderitz,-26.6481,15.1594,66.97,61,0,20.56,NA,1612049004
twin falls,42.3505,-114.6445,42.01,52,90,8.05,US,1612049210
saldanha,-33.0117,17.9442,64.35,91,0,5.32,ZA,1612049210
kodiak,57.79,-152.4072,33.8,55,1,24.16,US,1612049210
mar del plata,-38.0023,-57.5575,62.6,59,75,19.57,AR,1612049210
bokovskaya,49.229,41.8306,33.69,92,91,13.58,RU,1612049211
sao filipe,14.8961,-24.4956,74.19,60,96,12.24,CV,1612049211
namibe,-15.1961,12.1522,73.2,77,67,8.52,AO,1612049211
olinda,-8.0089,-34.8553,78.8,69,40,9.22,BR,1612049211
poum,-20.2333,164.0167,79.68,67,62,11.65,NC,1612049211
vila franca do campo,37.7167,-25.4333,62.6,94,20,16.11,PT,1612049211
narsaq,60.9167,-46.05,39.2,30,75,36.82,GL,1612049211
ola,59.5833,151.2833,-16.33,81,73,15.66,RU,1612049211
port-gentil,-0.7193,8.7815,77,88,90,13.8,GA,1612049211
tuktoyaktuk,69.4541,-133.0374,-34.6,67,40,2.3,CA,1612049211
herat,34.5,62,48.11,56,100,3.22,AF,1612049211
beringovskiy,63.05,179.3167,8.2,95,100,26.42,RU,1612049212
panaba,21.2833,-88.2667,75.65,70,54,7.25,MX,1612049212
alyangula,-13.8483,136.4192,86,70,15,9.22,AU,1612049212
hovd,48.0056,91.6419,7.59,83,93,0.74,MN,1612049212
arkhipo-osipovka,44.37,38.52,49.1,71,91,20.65,RU,1612049212
elizabeth city,36.2946,-76.2511,33.01,55,1,4.61,US,1612049212
srednekolymsk,67.45,153.6833,-33.02,84,100,3.29,RU,1612049212
mizdah,31.4451,12.9801,56.41,37,0,8.57,LY,1612048930
tiksi,71.6872,128.8694,-27.31,86,100,5.32,RU,1612049212
hit,33.6416,42.8251,50.95,54,19,8.37,IQ,1612049213
provideniya,64.3833,-173.3,-11.83,83,77,12.15,RU,1612049213
san andres,12.5847,-81.7006,84.2,65,40,16.11,CO,1612049213
salalah,17.0151,54.0924,68,64,0,5.75,OM,1612049213
megion,61.0296,76.1136,-20.2,69,40,17.9,RU,1612049213
hithadhoo,-0.6,73.0833,81.55,80,63,15.95,MV,1612049213
dno,57.8277,29.9637,18,98,78,4.79,RU,1612049213
mana,5.6592,-53.7767,77.95,88,100,12.97,GF,1612049213
mankono,8.0586,-6.1897,78.87,41,15,1.23,CI,1612049213
sur,22.5667,59.5289,66.02,53,0,6.42,OM,1612049213
boa vista,2.8197,-60.6733,82.4,69,75,16.11,BR,1612049077
tessalit,20.1986,1.0114,63.95,22,21,12.91,ML,1612049214
bouna,9.2667,-3,77,18,36,4.18,CI,1612049214
ampanihy,-24.7,44.75,75.36,80,0,5.12,MG,1612049214
castro,-24.7911,-50.0119,65.77,97,100,1.68,BR,1612049214
awbari,26.5921,12.7805,56.89,37,0,8.25,LY,1612049214
torbay,47.6666,-52.7314,28.99,93,90,10.36,CA,1612049214
teguise,29.0605,-13.564,64.4,77,75,13.8,ES,1612049214
guerrero negro,27.9769,-114.0611,63.61,53,61,16.31,MX,1612049214
porto santo,33.072,-16.3415,60.8,88,20,4.61,PT,1612049214
cidreira,-30.1811,-50.2056,75.16,91,83,7.25,BR,1612049182
faanui,-16.4833,-151.75,81.03,72,74,7.72,PF,1612049214
nanortalik,60.1432,-45.2371,30.04,90,100,9.1,GL,1612049215
carnarvon,-24.8667,113.6333,80.6,94,15,5.75,AU,1612049215
jaragua,-15.7569,-49.3344,77,65,20,3.44,BR,1612049215
maldonado,-34.6667,-54.9167,68,88,75,21.85,UY,1612049215
port hedland,-20.3167,118.5667,84.2,74,83,4.61,AU,1612049215
wasilla,61.5814,-149.4394,24.8,93,1,0.98,US,1612049215
quang ngai,15.1167,108.8,67.14,89,91,1.99,VN,1612049215
acapulco,16.8634,-99.8901,84.2,74,75,3.44,MX,1612049215
vila velha,-20.3297,-40.2925,78.8,78,0,12.66,BR,1612049215
darnah,32.767,22.6367,60.08,73,0,7.83,LY,1612048935
havre,49.5833,0.3333,46.4,93,90,11.5,FR,1612049216
sioux lookout,50.1001,-91.917,23,86,90,8.05,CA,1612049216
jimenez,28.3333,-105.4,60.8,31,1,19.57,MX,1612049216
surt,31.2089,16.5887,65.71,42,0,11.59,LY,1612049216
laguna,38.421,-121.4238,61,47,75,8.05,US,1612049216
san quintin,30.4833,-115.95,61.2,59,0,12.1,MX,1612049216
codrington,-38.2667,141.9667,61.52,65,93,7.29,AU,1612049216
cockburn town,21.4612,-71.1419,73.4,60,20,11.5,TC,1612049216
labuhan,-6.8844,112.2051,77.18,87,83,6.78,ID,1612049216
yellowknife,62.456,-114.3525,-9.99,77,40,4.61,CA,1612049217
seguin,29.5688,-97.9647,77,47,1,11.5,US,1612049217
chokurdakh,70.6333,147.9167,-29.07,86,57,7.9,RU,1612049217
praya,14.9215,-23.5087,71.6,68,0,17.27,CV,1612049217
skjervoy,70.0311,20.9714,28.08,88,100,7.49,NO,1612049217
kuito,-12.3833,16.9333,60.71,90,100,6.35,AO,1612049217
taoudenni,22.6783,-3.9836,69.51,22,0,10.74,ML,1612049217
vestmannaeyjar,63.4427,-20.2734,31.59,94,85,8.61,IS,1612049217
naze,28.3667,129.4833,57.2,58,75,4.61,JP,1612049217
isla aguada,18.7833,-91.4667,82.4,51,20,9.22,MX,1612049217
jesus carranza,17.4333,-95.0333,76.53,80,53,4.38,MX,1612049217
ariquemes,-9.9133,-63.0408,76.89,90,58,0.38,BR,1612049218
port hardy,50.6996,-127.4199,44.6,81,75,20.71,CA,1612049218
kaseda,31.4167,130.3167,32,86,20,4.68,JP,1612049218
katherine,-14.4667,132.2667,82.4,78,75,8.05,AU,1612049218
biltine,14.5333,20.9167,70.05,21,9,13.27,TD,1612049169
lavrentiya,65.5833,-171,-17.01,84,0,5.5,RU,1612049218
mogadishu,2.0371,45.3438,74.95,83,0,18.05,SO,1612049218
la ronge,55.1001,-105.2842,12.2,79,77,2.3,CA,1612049218
aykhal,66,111.5,-33.3,80,81,13.22,RU,1612049218
bethel,41.3712,-73.414,23,45,1,4.94,US,1612049218
mitu,1.1983,-70.1733,76.48,89,63,0.63,CO,1612049218
kashi,39.4547,75.9797,24.8,58,20,8.95,CN,1612049219
okakarara,-20.5833,17.4333,72.57,62,96,5.57,NA,1612049219
rio branco,-9.9747,-67.81,80.6,83,40,2.62,BR,1612049219
ponta delgada,37.7333,-25.6667,62.6,94,20,16.11,PT,1612049219
boshnyakovo,49.6333,142.1667,-2.54,92,100,10.65,RU,1612049219
khandyga,62.6667,135.6,-51.74,76,85,1.19,RU,1612049219
klaksvik,62.2266,-6.589,32,80,40,20.71,FO,1612049215
aras,42.5617,-2.356,45,88,91,14.58,ES,1612049219
barrow,71.2906,-156.7887,-11.2,70,90,9.22,US,1612049102
bo phloi,14.3236,99.5161,75,55,2,4.29,TH,1612049219
salina,38.8403,-97.6114,37.4,93,90,26.46,US,1612049220
port lincoln,-34.7333,135.8667,63.91,70,2,16.96,AU,1612049220
peniche,39.3558,-9.3811,57,83,80,10,PT,1612049220
vaitape,-16.5167,-151.75,81.09,72,74,7.63,PF,1612049220
vila do maio,15.1333,-23.2167,71.6,68,0,17.27,CV,1612049220
fort-shevchenko,44.5086,50.263,35.47,85,100,13.2,KZ,1612049220
pareora,-44.4871,171.2132,70,54,0,4,NZ,1612049220
inongo,-1.95,18.2667,73.4,92,100,5.06,CD,1612049220
olafsvik,64.8945,-23.7142,22.96,90,4,17.52,IS,1612049221
quatre cocos,-20.2078,57.7625,78.8,89,40,3.44,MU,1612049221
carauari,-4.8828,-66.8958,77.43,93,98,2.66,BR,1612049221
dingle,10.9995,122.6711,72.36,89,100,9.66,PH,1612049221
mecca,21.4267,39.8261,67.1,43,0,5.7,SA,1612049221
ancud,-41.8697,-73.8203,64,55,0,6.91,CL,1612049221
praia da vitoria,38.7333,-27.0667,64.4,88,75,19.26,PT,1612049221
xining,36.6167,101.7667,11.89,76,23,3.09,CN,1612049221
souillac,-20.5167,57.5167,78.8,89,40,3.44,MU,1612049172
sabha,27.0377,14.4283,56.66,38,0,6.13,LY,1612049221
kemijarvi,66.7131,27.4306,10.38,96,100,3.85,FI,1612049222
morondava,-20.2833,44.2833,81.57,74,60,4.54,MG,1612049222
dehui,44.5333,125.7,-7.6,77,40,6.71,CN,1612049222
along,28.1667,94.7667,45.23,78,2,2.44,IN,1612049222
imbituba,-28.24,-48.6703,78.8,89,0,5.75,BR,1612049216
sparks,39.5349,-119.7527,42.8,39,20,3.44,US,1612049222
aguimes,27.9054,-15.4461,64.4,77,75,24.16,ES,1612049223
nemuro,43.3236,145.575,20.19,91,77,16.24,JP,1612049223
jalu,29.0331,21.5482,60.46,42,0,10.98,LY,1612049223
gorontalo,0.5412,123.0595,73.89,80,100,2.44,ID,1612049223
kalabo,-14.97,22.6814,68.47,90,88,4.38,ZM,1612049223
nishihara,26.1842,127.7558,60.8,58,40,8.05,JP,1612049223
san cristobal,7.7669,-72.225,82.4,61,40,10.36,VE,1612049223
yar-sale,66.8333,70.8333,-19.82,85,100,16.91,RU,1612049223
tezu,27.9167,96.1667,54.12,43,14,3.85,IN,1612049223
de-kastri,51.4667,140.7833,-1.01,88,100,9.98,RU,1612049223
pisco,-13.7,-76.2167,73.4,68,0,18.41,PE,1612049224
lubango,-14.9172,13.4925,62.01,87,89,2.39,AO,1612049125
wrexham,53,-3,33.01,88,51,1.99,GB,1612049224
vao,-22.6667,167.4833,75.43,80,80,24.9,NC,1612049224
payson,40.0444,-111.7321,41,56,75,10.36,US,1612049224
porosozero,62.7191,32.727,16.84,97,100,4,RU,1612049224
hueytown,33.4512,-86.9967,57.2,38,20,6.91,US,1612048933
portland,45.5234,-122.6762,50,76,90,11.5,US,1612049164
capinzal,-27.3436,-51.6119,71.6,80,58,2.46,BR,1612049224
pandan,14.0453,124.1694,76.1,80,100,18.84,PH,1612049224
muisne,0.6,-80.0333,78.8,94,75,2.3,EC,1612049225
cherskiy,68.75,161.3,-37.19,83,3,1.7,RU,1612049190
ambon,-3.6954,128.1814,84.2,79,20,2.3,ID,1612049225
bolekhiv,49.0661,23.8643,25.07,94,100,6.51,UA,1612049225
beloha,-25.1667,45.05,75.18,79,2,3.15,MG,1612049225
hamilton,39.1834,-84.5333,36,51,90,3.44,US,1612049212
barcelos,41.5388,-8.6151,55.4,82,75,9.22,PT,1612049225
bumba,2.1833,22.4667,72.27,47,96,1.07,CD,1612049225
fortuna,40.5982,-124.1573,55,71,75,20.71,US,1612049225
visnes,59.3556,5.2242,28.4,100,40,3.44,NO,1612049225
konskie,51.1917,20.4061,24.01,10,57,6.91,PL,1612049226
bubaque,11.2833,-15.8333,79.45,60,15,11.7,GW,1612049226
ambanja,-13.6833,48.45,74.52,89,54,3.53,MG,1612049226
rio gallegos,-51.6226,-69.2181,64.4,29,0,17.27,AR,1612049226
okha,53.5739,142.9478,-6.07,90,100,16.75,RU,1612049226
superior,46.7208,-92.1041,30.2,93,90,12.66,US,1612049226
hokitika,-42.7167,170.9667,61.25,64,0,5.91,NZ,1612049226
cartagena,10.3997,-75.5144,84.2,65,40,8.05,CO,1612048993
mayo,38.8876,-76.5119,32,55,1,1.39,US,1612049226
te anau,-45.4167,167.7167,61.27,59,83,4.9,NZ,1612049226
sainte-suzanne,-20.9061,55.6089,78.8,73,0,12.66,RE,1612049226
ocos,14.5094,-92.1933,86,65,1,10.36,GT,1612049227
patillas,18.0064,-66.0157,75,86,14,8.3,PR,1612049227
charters towers,-20.1,146.2667,80.26,65,71,10.69,AU,1612049227
benguela,-12.5763,13.4055,77.05,77,90,5.1,AO,1612049226
karpathos,35.507,27.2132,60.8,77,0,23.02,GR,1612049227
jiazi,22.8779,116.067,55.24,85,1,11.52,CN,1612049227
mount gambier,-37.8333,140.7667,62.6,72,75,9.22,AU,1612049227
iqaluit,63.7506,-68.5145,-9,77,1,19.57,CA,1612049227
paamiut,61.994,-49.6678,25.7,89,21,14.74,GL,1612049227
agadez,19.75,10.25,54.52,35,20,2.93,NE,1612049227
igrim,63.1906,64.4162,-12.19,90,100,3.2,RU,1612049227
namatanai,-3.6667,152.4333,83.53,70,100,12.8,PG,1612049228
tateyama,34.9833,139.8667,42.8,81,20,2.3,JP,1612049228
brae,60.3964,-1.353,37.4,87,75,11.5,GB,1612049228
saint-pierre,-21.3393,55.4781,78.8,65,0,4.61,RE,1612049228
sembe,1.6481,14.5806,71.56,91,79,2.68,CG,1612049228
gemena,3.25,19.7667,73.22,70,88,2.77,CD,1612049228
gannan,47.9147,123.5031,-12.41,90,96,3.51,CN,1612049228
jieshi,22.8134,115.8257,56.5,82,0,13.22,CN,1612049228
camacha,33.0833,-16.3333,60.8,88,20,4.61,PT,1612049228
alta floresta,-9.8756,-56.0861,74.21,96,64,2.28,BR,1612049228
ponta do sol,32.6667,-17.1,59,74,65,3,PT,1612049228
soto la marina,23.7667,-98.2167,77,70,26,17,MX,1612049228
lucapa,-8.4192,20.7447,66.49,93,100,1.9,AO,1612049229
san policarpo,12.1791,125.5072,78.75,80,100,19.66,PH,1612049229
ahualulco,22.4,-101.1667,78.8,17,1,3.44,MX,1612049170
jimeta,9.2833,12.4667,76.59,18,1,3.96,NG,1612049229
oneonta,42.4529,-75.0638,15.01,86,100,1.01,US,1612049229
seoul,37.5683,126.9778,24.8,80,0,5.75,KR,1612049025
miles city,46.4083,-105.8406,30.2,86,90,9.22,US,1612049229
mgandu,-5.95,34.1333,59.67,84,62,2.77,TZ,1612049229
barra,-11.0894,-43.1417,79.65,56,14,2.3,BR,1612049229
konza,-1.7426,37.1294,57.85,88,100,5.1,KE,1612049229
ratnagiri,16.9833,73.3,74.73,52,49,7.07,IN,1612049230
kazuno,40.1836,140.7872,24.8,86,75,13.8,JP,1612049230
general bravo,25.8,-99.1667,86.2,33,3,5.77,MX,1612049230
katsuura,35.1333,140.3,41,56,20,8.05,JP,1612049230
aqtobe,50.2797,57.2072,3.2,78,54,4.47,KZ,1612049230
karlovo,42.6333,24.8,41,80,1,6.91,BG,1612049230
tiznit,29.5833,-9.5,55.71,89,48,4.85,MA,1612049230
kailua,21.4022,-157.7394,80.6,65,40,11.5,US,1612049230
mulki,13.1,74.8,75.2,83,20,4.27,IN,1612049231
kruisfontein,-34.0033,24.7314,61,88,1,2.39,ZA,1612049231
paris,48.8534,2.3488,51.01,93,90,4.61,FR,1612049070
nandgaon,20.3167,74.65,63.36,29,0,3.58,IN,1612049231
flinders,-34.5833,150.8552,71.01,89,87,7,AU,1612049231
khora,37.05,21.7167,52,93,42,4.61,GR,1612049231
polovinnoye,54.7914,65.9864,12.2,95,90,6.13,RU,1612049231
cap malheureux,-19.9842,57.6142,75.99,87,0,3,MU,1612049231
koumac,-20.5667,164.2833,81.32,58,83,3.87,NC,1612049231
rawlins,41.7911,-107.2387,30.2,59,40,21.85,US,1612049232
aklavik,68.2191,-135.0107,-16.6,76,75,4.61,CA,1612049211
mikhaylovskoye,51.8239,79.7172,7.18,94,97,6.67,RU,1612049232
rairangpur,22.2676,86.1751,49.66,46,0,1.48,IN,1612049232
kil,59.5072,13.314,10.4,92,0,4.61,SE,1612049232
palencia,42.4167,-4.5,41,80,27,8.01,ES,1612049232
tymovskoye,50.8456,142.655,-8.19,87,100,3.31,RU,1612049232
taltal,-25.4,-70.4833,69.58,66,22,5.3,CL,1612049232
tulln,48.3283,16.0586,30.99,96,100,3.33,AT,1612049232
buchs,47.1674,9.4779,42.01,96,100,4,CH,1612049232
dzerzhinsk,56.2389,43.4631,26.6,74,90,11.18,RU,1612049233
amapa,1,-52,72.95,98,50,2.21,BR,1612049227
ambovombe,-25.1667,46.0833,78.96,75,37,5.39,MG,1612049233
burnie,-41.0667,145.9167,66.99,57,83,7,AU,1612049233
northam,51.0333,-4.2167,39.99,87,29,11.99,GB,1612049233
puerto escondido,15.85,-97.0667,84.2,70,40,5.75,MX,1612049233
okhotsk,59.3833,143.3,-12.57,78,0,16.96,RU,1612049233
jurado,7.1053,-77.7641,79.41,80,96,0.87,CO,1612049233
jaypur,18.85,82.5833,60.53,68,14,2.93,IN,1612049233
moroni,-11.7022,43.2551,80.2,74,100,6.78,KM,1612049105
auki,-8.7676,160.7034,82.42,83,100,13.11,SB,1612049234
san rafael,-34.6177,-68.3301,66.04,64,92,9.98,AR,1612049234
eyemouth,55.8713,-2.0901,30.99,94,1,9.33,GB,1612049234
coquimbo,-29.9533,-71.3436,66.2,82,75,9.22,CL,1612048996
neiafu,-18.65,-173.9833,82.4,83,75,11.5,TO,1612049234
martinsville,36.6915,-79.8725,37.4,48,40,5.75,US,1612049234
anadyr,64.75,177.4833,-5.8,71,20,29.08,RU,1612049234
alice town,25.7167,-79.3,68.59,68,83,16.51,BS,1612049234
lingyuan,41.24,119.4011,9.41,88,0,3.91,CN,1612049234
buala,-8.145,159.5921,84.47,76,99,16.02,SB,1612049110
vanimo,-2.6741,141.3028,81.64,77,100,6.46,PG,1612049235
san patricio,28.017,-97.5169,75.99,73,40,21.85,US,1612049235
nuuk,64.1835,-51.7216,15.8,86,0,3.44,GL,1612049194
shirokiy,49.758,129.523,-32.26,85,72,2.95,RU,1612049235
sinnamary,5.3833,-52.95,78.28,86,100,14.56,GF,1612049235
goundam,16.4145,-3.6708,70.84,19,57,10.2,ML,1612049235
